product_category_name,total_sales,total_product_price
cama_mesa_banho,1712553.6699999985,1036988.6799999905
beleza_saude,1657373.1199999976,1258546.369999994
informatica_acessorios,1585330.449999999,911954.3199999973
moveis_decoracao,1430176.3899999987,729762.4899999977
relogios_presentes,1429216.6799999997,1205005.679999997
esporte_lazer,1392127.5599999991,988048.9699999955
utilidades_domesticas,1094758.13,632248.6599999997
automotivo,852294.3300000003,592720.1100000003
ferramentas_jardim,838280.75,485256.4600000015
cool_stuff,779697.9999999998,635290.8500000001
moveis_escritorio,646826.49,273960.70000000054
brinquedos,619037.69,483946.60000000097
bebes,539845.6600000001,411764.89000000106
perfumaria,506738.6599999997,399124.870000001
telefonia,486882.04999999877,323667.530000001
papelaria,317440.0699999998,230943.23000000056
pet_shop,311268.97000000003,214315.41000000053
pcs,279121.55000000005,222963.13
eletronicos,259857.09999999992,160246.74000000002
,252801.70999999993,179535.2800000002
construcao_ferramentas_construcao,241475.63000000006,144677.59000000005
instrumentos_musicais,233074.12000000002,191498.8800000001
eletroportateis,225584.37999999998,190648.58000000007
fashion_bolsas_e_acessorios,218158.2799999999,152823.54
telefonia_fixa,207010.26000000007,59583.0
consoles_games,195480.37999999998,157465.22000000003
malas_acessorios,187151.29000000007,140429.9799999999
casa_construcao,136645.29,83088.12000000001
moveis_sala,136138.77,68916.55999999997
eletrodomesticos_2,124563.46,113317.73999999998
agro_industria_e_comercio,118730.61,72530.46999999999
eletrodomesticos,95532.27000000002,80171.52999999997
climatizacao,91170.66,55024.959999999985
casa_conforto,84329.06,58572.039999999964
moveis_cozinha_area_de_servico_jantar_e_jardim,74660.98000000001,46328.369999999995
construcao_ferramentas_iluminacao,72712.48,41079.999999999985
bebidas,71429.65,22428.69999999999
sinalizacao_e_seguranca,68488.05000000002,21509.230000000003
construcao_ferramentas_seguranca,65691.03,40544.52
livros_interesse_geral,64694.76,46856.87999999997
audio,60324.619999999995,50688.49999999999
industria_comercio_e_negocios,56745.76,39669.60999999999
portateis_casa_forno_e_cafe,51229.32,47445.70999999999
alimentos,46428.67,29393.409999999996
market_place,45335.91999999999,28378.469999999998
construcao_ferramentas_jardim,42394.41,25715.890000000003
fashion_calcados,32422.740000000005,23562.770000000008
moveis_quarto,31598.939999999995,20028.78
artes,30992.93,24202.64
alimentos_bebidas,27289.729999999996,15179.48
livros_tecnicos,24915.439999999995,19096.06
construcao_ferramentas_ferramentas,21069.07,15903.949999999999
artigos_de_natal,18994.769999999997,8800.82
fashion_roupa_masculina,17290.98,10797.820000000003
fashion_underwear_e_moda_praia,12714.539999999997,9541.550000000001
tablets_impressao_imagem,10042.93,7528.410000000001
cine_foto,9530.320000000002,6933.460000000001
dvds_blu_ray,7935.280000000001,5999.39
musica,6901.429999999999,6034.350000000001
livros_importados,6701.890000000002,4639.85
moveis_colchao_e_estofado,5998.540000000001,4368.08
artigos_de_festas,5966.31,4485.18
fashion_roupa_feminina,5109.62,2803.64
portateis_cozinha_e_preparadores_de_alimentos,4335.65,3968.5300000000007
fraldas_higiene,4221.25,1567.59
fashion_esporte,3645.92,2119.5099999999998
la_cuisine,2913.53,2054.99
artes_e_artesanato,2326.17,1814.01
flores,2213.01,1110.04
pc_gamer,2174.43,1545.95
casa_conforto_2,1710.54,760.27
cds_dvds_musicais,1199.43,730.0
fashion_roupa_infanto_juvenil,785.67,569.85
seguros_e_servicos,324.51,283.28999999999996
